AMC,AMFICode,Scheme Name,Scheme Type,AMFI Scheme Category,Scheme NAV Name,Scheme Category,Sub Category,Fundtype,PlanType,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Launch Date,Closure Date,Scheme Minimum Amount,isPrimary
Aditya Birla Sun Life AMC Limited,100033,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Equity,Large and Mid Cap Fund,DE,Regular,INF209K01165,,24-Feb-1995,24-Feb-1995,5000.0,Y
Aditya Birla Sun Life AMC Limited,100034,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Equity,Large and Mid Cap Fund,DE,Regular,INF209K01157,INF209K01CE5,24-Feb-1995,24-Feb-1995,5000.0,Y
Aditya Birla Sun Life AMC Limited,119433,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW,Equity,Large and Mid Cap Fund,DE,Direct,INF209K01VG0,INF209K01VI6,24-Feb-1995,24-Feb-1995,5000.0,N
Aditya Birla Sun Life AMC Limited,119436,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan,Equity,Large and Mid Cap Fund,DE,Direct,INF209K01VH8,,24-Feb-1995,24-Feb-1995,5000.0,Y
Aditya Birla Sun Life AMC Limited,100037,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Debt,Medium to Long Duration Fund,DE,Regular,INF209K01587,INF209K01CY3,01-Jan-1994,01-Jan-1994,5000.0,Y
Aditya Birla Sun Life AMC Limited,100038,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Debt,Medium to Long Duration Fund,DE,Regular,INF209K01579,,01-Jan-1994,01-Jan-1994,5000.0,Y
Aditya Birla Sun Life AMC Limited,100039,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Growth),Debt,Medium to Long Duration Fund,DE,Regular,,,01-Jan-1994,01-Jan-1994,5000.0,Y
Aditya Birla Sun Life AMC Limited,100040,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Dividend),Debt,Medium to Long Duration Fund,DE,Regular,,,01-Jan-1994,01-Jan-1994,5000.0,N
Aditya Birla Sun Life AMC Limited,111777,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),Debt,Medium to Long Duration Fund,DE,Regular,INF209K01LD8,,01-Jan-1994,01-Jan-1994,5000.0,N
Aditya Birla Sun Life AMC Limited,119655,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW,Debt,Medium to Long Duration Fund,DE,Direct,INF209K01WZ8,,01-Jan-1994,01-Jan-1994,5000.0,N
Aditya Birla Sun Life AMC Limited,119657,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Direct Plan,Debt,Medium to Long Duration Fund,DE,Direct,INF209K01WY1,,01-Jan-1994,01-Jan-1994,5000.0,Y
Aditya Birla Sun Life AMC Limited,133445,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - IDCW,Debt,Medium to Long Duration Fund,DE,Regular,INF209KA1WJ6,INF209KA1WK4,01-Jan-1994,01-Jan-1994,5000.0,Y
Aditya Birla Sun Life AMC Limited,133446,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Direct - IDCW,Debt,Medium to Long Duration Fund,DE,Direct,INF209KA1WL2,INF209KA1WM0,01-Jan-1994,01-Jan-1994,5000.0,N
Aditya Birla Sun Life AMC Limited,100041,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Debt,Liquid Fund,DE,Regular,INF209K01KN9,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,100042,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Debt,Liquid Fund,DE,Regular,INF209K01ME4,,04-Jun-1997,07-Jun-1997,5000.0,Y
Aditya Birla Sun Life AMC Limited,100043,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Debt,Liquid Fund,DE,Regular,INF209K01RT1,,04-Jun-1997,07-Jun-1997,5000.0,Y
Aditya Birla Sun Life AMC Limited,100044,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Debt,Liquid Fund,DE,Regular,INF209K01KP4,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,100046,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Debt,Liquid Fund,DE,Regular,INF209K01KQ2,INF209K01SQ5,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,100047,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,Debt,Liquid Fund,DE,Regular,INF209K01RU9,,04-Jun-1997,07-Jun-1997,5000.0,Y
Aditya Birla Sun Life AMC Limited,112014,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,Debt,Liquid Fund,DE,Regular,INF209K01KZ3,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,119568,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,Debt,Liquid Fund,DE,Direct,INF209K01VA3,,04-Jun-1997,07-Jun-1997,5000.0,Y
Aditya Birla Sun Life AMC Limited,119569,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,Debt,Liquid Fund,DE,Direct,INF209K01UZ2,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,119570,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,Debt,Liquid Fund,DE,Direct,INF209K01VC9,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,119571,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,Debt,Liquid Fund,DE,Direct,INF209K01VD7,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,100048,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Debt,Liquid Fund,DE,Regular,INF209KA1LK7,INF209K01KY6,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,100050,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),Debt,Liquid Fund,DE,Regular,,,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,100051,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Debt,Liquid Fund,DE,Regular,INF209K01KU4,INF209KA1LJ9,04-Jun-1997,07-Jun-1997,5000.0,N
Aditya Birla Sun Life AMC Limited,103885,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,Debt,Liquid Fund,DE,Regular,INF209KA1LI1,,04-Jun-1997,07-Jun-1997,5000.0,Y
Aditya Birla Sun Life AMC Limited,100057,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Debt,Gilt Fund,DE,Regular,INF209K01AF6,INF209K01DP9,12-Oct-1999,12-Oct-1999,5000.0,Y
Aditya Birla Sun Life AMC Limited,100058,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Debt,Gilt Fund,DE,Regular,INF209K01AC3,INF209K01AD1,12-Oct-1999,12-Oct-1999,5000.0,Y
Aditya Birla Sun Life AMC Limited,119605,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,Debt,Gilt Fund,DE,Direct,INF209K01XP7,,12-Oct-1999,12-Oct-1999,5000.0,Y
Aditya Birla Sun Life AMC Limited,119606,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW,Debt,Gilt Fund,DE,Direct,INF209KA1LC4,,12-Oct-1999,12-Oct-1999,5000.0,N
Aditya Birla Sun Life AMC Limited,100063,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Regular - IDCW,Equity,Sectoral/ Thematic,DE,Regular,INF209K01314,INF209K01CL0,16-Nov-1998,16-Nov-1998,5000.0,Y
Aditya Birla Sun Life AMC Limited,100064,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Equity,Sectoral/ Thematic,DE,Regular,INF209K01322,,16-Nov-1998,16-Nov-1998,5000.0,Y
Aditya Birla Sun Life AMC Limited,119646,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,Equity,Sectoral/ Thematic,DE,Direct,INF209K01VT3,,16-Nov-1998,16-Nov-1998,5000.0,Y
Aditya Birla Sun Life AMC Limited,119647,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - DIRECT - IDCW,Equity,Sectoral/ Thematic,DE,Direct,INF209K01Q06,INF209K01VU1,16-Nov-1998,16-Nov-1998,5000.0,N
Aditya Birla Sun Life AMC Limited,100067,Aditya Birla Sun Life Tax Plan,Open Ended,Equity Scheme - ELSS,Aditya Birla Sun Life Tax Plan -Regular - IDCW,Equity,ELSS,DE,Regular,INF209K01330,INF209K01CM8,02-Feb-1999,,1.0,Y
Aditya Birla Sun Life AMC Limited,104331,Aditya Birla Sun Life Tax Plan,Open Ended,Equity Scheme - ELSS,Aditya Birla Sun Life Tax Plan - Regular Plan - Growth Option,Equity,ELSS,DE,Regular,INF209K01348,,02-Feb-1999,,1.0,Y
Aditya Birla Sun Life AMC Limited,119660,Aditya Birla Sun Life Tax Plan,Open Ended,Equity Scheme - ELSS,Aditya Birla Sun Life Tax Plan -DIRECT - IDCW,Equity,ELSS,DE,Direct,INF209K01Q14,INF209K01VW7,02-Feb-1999,,1.0,N
Aditya Birla Sun Life AMC Limited,119661,Aditya Birla Sun Life Tax Plan,Open Ended,Equity Scheme - ELSS,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,Equity,ELSS,DE,Direct,INF209K01VV9,,02-Feb-1999,,1.0,Y
DSP Asset Managers Private Limited,100077,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - IDCW,Debt,Medium Duration Fund,DE,Regular,INF740K01565,INF740K01995,07-Apr-1997,15-Apr-1997,1000.0,N
DSP Asset Managers Private Limited,100078,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Growth,Debt,Medium Duration Fund,DE,Regular,INF740K01557,,07-Apr-1997,15-Apr-1997,1000.0,Y
DSP Asset Managers Private Limited,100079,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - IDCW - Monthly,Debt,Medium Duration Fund,DE,Regular,INF740K01573,INF740K01AA1,07-Apr-1997,15-Apr-1997,1000.0,N
DSP Asset Managers Private Limited,118921,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Direct Plan - IDCW - Monthly,Debt,Medium Duration Fund,DE,Direct,INF740K01NA4,INF740K01NC0,07-Apr-1997,15-Apr-1997,1000.0,N
DSP Asset Managers Private Limited,118922,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Direct Plan - IDCW,Debt,Medium Duration Fund,DE,Direct,INF740K01NB2,INF740K01ND8,07-Apr-1997,15-Apr-1997,1000.0,N
DSP Asset Managers Private Limited,118924,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Direct Plan - Growth,Debt,Medium Duration Fund,DE,Direct,INF740K01MZ3,,07-Apr-1997,15-Apr-1997,1000.0,Y
DSP Asset Managers Private Limited,100080,DSP Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Regular Plan - IDCW,Equity,Flexi Cap Fund,DE,Regular,INF740K01011,INF740K01029,04-Apr-1997,15-Apr-1997,1000.0,Y
DSP Asset Managers Private Limited,105875,DSP Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Regular Plan - Growth,Equity,Flexi Cap Fund,DE,Regular,INF740K01037,,04-Apr-1997,15-Apr-1997,1000.0,Y
DSP Asset Managers Private Limited,119076,DSP Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Direct Plan - Growth,Equity,Flexi Cap Fund,DE,Direct,INF740K01PI2,,04-Apr-1997,15-Apr-1997,1000.0,Y
DSP Asset Managers Private Limited,119077,DSP Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Direct Plan - IDCW,Equity,Flexi Cap Fund,DE,Direct,INF740K01PJ0,INF740K01PK8,04-Apr-1997,15-Apr-1997,1000.0,N
DSP Asset Managers Private Limited,119019,DSP Equity & Bond Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Equity & Bond Fund - Direct Plan - Growth,Hybrid,Aggressive Hybrid Fund,DE,Direct,INF740K01NY4,,03-May-1999,14-May-1999,1000.0,Y
DSP Asset Managers Private Limited,119020,DSP Equity & Bond Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Equity & Bond Fund - Direct Plan - IDCW,Hybrid,Aggressive Hybrid Fund,DE,Direct,INF740K01NZ1,INF740K01OA2,03-May-1999,14-May-1999,1000.0,N
DSP Asset Managers Private Limited,100081,DSP Equity & Bond Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Equity & Bond Fund- Regular Plan - Growth,Hybrid,Aggressive Hybrid Fund,DE,Regular,INF740K01318,,03-May-1999,14-May-1999,1000.0,Y
DSP Asset Managers Private Limited,100082,DSP Equity & Bond Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Equity & Bond Fund- Regular Plan - IDCW,Hybrid,Aggressive Hybrid Fund,DE,Regular,INF740K01326,INF740K01334,03-May-1999,14-May-1999,1000.0,Y
DSP Asset Managers Private Limited,100084,DSP Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Government Securities Fund - Regular Plan - Growth,Debt,Gilt Fund,DE,Regular,INF740K01615,,20-Sep-1999,23-Sep-1999,1000.0,Y
DSP Asset Managers Private Limited,100085,DSP Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Government Securities Fund - Regular Plan - IDCW,Debt,Gilt Fund,DE,Regular,INF740K01607,INF740K01AD5,20-Sep-1999,23-Sep-1999,1000.0,Y
DSP Asset Managers Private Limited,100086,DSP Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Government Securities Fund - Regular Plan - IDCW - Monthly,Debt,Gilt Fund,DE,Regular,INF740K01623,INF740K01AE3,20-Sep-1999,23-Sep-1999,1000.0,Y
DSP Asset Managers Private Limited,119099,DSP Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Government Securities Fund - Direct Plan - Growth,Debt,Gilt Fund,DE,Direct,INF740K01NF3,,20-Sep-1999,23-Sep-1999,1000.0,Y
